id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2021-01-29T20:39:37;RAM Focused;PAID;CASH_ON_DELIVERY;2021-01-30T05:01:44;64379;Australia 1080p Intranet;1
2;2021-01-29T17:53:53;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2021-01-29T21:49:34;8068;Baby;2
3;2021-01-30T03:35:41;monitor;CANCELLED;CREDIT_CARD;2021-01-29T19:27:03;97394;Rubber synergy program;3
4;2021-01-29T16:09:43;EXE parse strategic;CANCELLED;PAYPAL;2021-01-29T20:14:53;2286;HTTP;4
5;2021-01-29T12:24:54;black Awesome;PAID;CASH_ON_DELIVERY;2021-01-29T12:26:48;49531;Agent SDD auxiliary;5
6;2021-01-29T22:57:28;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2021-01-29T14:49:38;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2021-01-30T01:31:04;back up Toys;ISSUED;PAYPAL;2021-01-30T04:26:43;10756;Arizona Awesome Fresh Soap system;7
8;2021-01-29T22:03:14;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2021-01-29T21:52:17;50263;deploy;8
9;2021-01-29T15:53:12;Credit Card Account;CANCELLED;CREDIT_CARD;2021-01-30T02:16:21;308;payment Fantastic Fresh Soap;9
10;2021-01-30T02:17:35;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2021-01-30T06:03:24;94911;Granite Rubber Pizza;10
