id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-01-29T13:27:47;payment unleash Jamaican Dollar;1
2;Rest;2021-01-30T08:44:17;Plains;2
3;Quality Plastic plum;2021-01-29T13:04:39;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-01-30T09:31:51;Architect SSL;4
5;zero tolerance;2021-01-30T06:28:10;user-facing CSS;5
6;ADP Ouguiya;2021-01-30T02:24:38;Garden;6
7;auxiliary;2021-01-30T10:40:38;functionalities Bedfordshire withdrawal;7
8;Data;2021-01-29T13:38:39;Viaduct hybrid;8
9;mesh;2021-01-30T12:04:18;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-01-30T10:03:12;Re-engineered withdrawal Ball;10
